corpus,session_id
Chintang,1
Chintang,2
Chintang,3
Chintang,4
Chintang,5
Chintang,6
Chintang,7
Chintang,8
Chintang,9
Chintang,10
Chintang,11
Chintang,12
Chintang,13
Chintang,14
Chintang,15
Chintang,16
Chintang,17
Chintang,18
Chintang,19
Chintang,20
Chintang,21
Chintang,22
Chintang,23
Chintang,24
Chintang,25
Chintang,26
Chintang,27
Chintang,28
Chintang,29
Chintang,30
Chintang,31
Chintang,32
Chintang,33
Chintang,34
Chintang,35
Chintang,36
Chintang,37
Chintang,38
Chintang,39
Chintang,40
Chintang,41
Chintang,42
Chintang,43
Chintang,44
Chintang,45
Chintang,46
Chintang,47
Chintang,48
Chintang,49
Chintang,50
Chintang,51
Chintang,52
Chintang,53
Chintang,54
Chintang,55
Chintang,56
Chintang,57
Chintang,58
Chintang,59
Chintang,60
Chintang,61
Chintang,62
Chintang,63
Chintang,64
Chintang,65
Chintang,66
Chintang,67
Chintang,68
Chintang,69
Chintang,70
Chintang,71
Chintang,72
Chintang,73
Chintang,74
Chintang,75
Chintang,76
Chintang,77
Chintang,78
Chintang,79
Chintang,80
Chintang,81
Chintang,82
Chintang,83
Chintang,84
Chintang,85
Chintang,86
Chintang,87
Chintang,88
Chintang,89
Chintang,90
Chintang,91
Chintang,92
Chintang,93
Chintang,94
Chintang,95
Chintang,96
Chintang,97
Chintang,98
Chintang,99
Chintang,100
Chintang,101
Chintang,102
Chintang,103
Chintang,104
Chintang,105
Chintang,106
Chintang,107
Chintang,108
Chintang,109
Chintang,110
Chintang,111
Chintang,112
Chintang,113
Chintang,114
Chintang,115
Chintang,116
Chintang,117
Chintang,118
Chintang,119
Chintang,120
Chintang,121
Chintang,122
Chintang,123
Chintang,124
Chintang,125
Chintang,126
Chintang,127
Chintang,128
Chintang,129
Chintang,130
Chintang,131
Chintang,132
Chintang,133
Chintang,134
Chintang,135
Chintang,136
Chintang,137
Chintang,138
Chintang,139
Chintang,140
Chintang,141
Chintang,142
Chintang,143
Chintang,144
Chintang,145
Chintang,146
Chintang,147
Chintang,148
Chintang,149
Chintang,150
Chintang,151
Chintang,152
Chintang,153
Chintang,154
Chintang,155
Chintang,156
Chintang,157
Chintang,158
Chintang,159
Chintang,160
Chintang,161
Chintang,162
Chintang,163
Chintang,164
Chintang,165
Chintang,166
Chintang,167
Chintang,168
Chintang,169
Chintang,170
Chintang,171
Chintang,172
Chintang,173
Chintang,174
Chintang,175
Chintang,176
Chintang,177
Chintang,178
Chintang,179
Chintang,180
Chintang,181
Chintang,182
Chintang,183
Chintang,184
Chintang,185
Chintang,186
Chintang,187
Chintang,188
Chintang,189
Chintang,190
Chintang,191
Chintang,192
Chintang,193
Chintang,194
Chintang,195
Chintang,196
Chintang,197
Chintang,198
Chintang,199
Chintang,200
Chintang,201
Chintang,202
Chintang,203
Chintang,204
Chintang,205
Chintang,206
Chintang,207
Chintang,208
Chintang,209
Chintang,210
Chintang,211
Chintang,212
Chintang,213
Chintang,214
Chintang,215
Chintang,216
Chintang,217
Chintang,218
Chintang,219
Chintang,220
Chintang,221
Chintang,222
Chintang,223
Chintang,224
Chintang,225
Chintang,226
Chintang,227
Chintang,228
Chintang,229
Chintang,230
Chintang,231
Chintang,232
Chintang,233
Chintang,234
Chintang,235
Chintang,236
Chintang,237
Chintang,238
Chintang,239
Chintang,240
Chintang,241
Chintang,242
Chintang,243
Chintang,244
Chintang,245
Chintang,246
Chintang,247
Chintang,248
Chintang,249
Chintang,250
Chintang,251
Chintang,252
Chintang,253
Chintang,254
Chintang,255
Chintang,256
Chintang,257
Chintang,258
Chintang,259
Chintang,260
Chintang,261
Chintang,262
Chintang,263
Chintang,264
Chintang,265
Chintang,266
Chintang,267
Chintang,268
Chintang,269
Chintang,270
Chintang,271
Chintang,272
Chintang,273
Chintang,274
Chintang,275
Chintang,276
Chintang,277
Chintang,278
Chintang,279
Chintang,280
Chintang,281
Chintang,282
Chintang,283
Chintang,284
Chintang,285
Chintang,286
Chintang,287
Chintang,288
Chintang,289
Chintang,290
Chintang,291
Chintang,292
Chintang,293
Chintang,294
Chintang,295
Chintang,296
Chintang,297
Chintang,298
Chintang,299
Chintang,300
Chintang,301
Chintang,302
Chintang,303
Chintang,304
Chintang,305
Chintang,306
Chintang,307
Chintang,308
Chintang,309
Chintang,310
Chintang,311
Chintang,312
Chintang,313
Chintang,314
Chintang,315
Chintang,316
Chintang,317
Chintang,318
Chintang,319
Chintang,320
Chintang,321
Chintang,322
Chintang,323
Chintang,324
Chintang,325
Chintang,326
Chintang,327
Chintang,328
Chintang,329
Chintang,330
Chintang,331
Chintang,332
Chintang,333
Chintang,334
Chintang,335
Chintang,336
Chintang,337
Chintang,338
Chintang,339
Chintang,340
Chintang,341
Chintang,342
Chintang,343
Chintang,344
Chintang,345
Chintang,346
Chintang,347
Chintang,348
Chintang,349
Chintang,350
Chintang,351
Chintang,352
Chintang,353
Chintang,354
Chintang,355
Chintang,356
Chintang,357
Chintang,358
Chintang,359
Chintang,360
Chintang,361
Chintang,362
Chintang,363
Chintang,364
Chintang,365
Chintang,366
Chintang,367
Chintang,368
Chintang,369
Chintang,370
Chintang,371
